ID_ARBRE,quartier,site,genre_arbre,situation,type_sol,surf_permeable,classe_age,hauteur,classe_hauteur,diametre,circonference (en cm),classe_circonference,port_arbre,vigueur_pousse,champignon_collet,insecte_collet,plaie_collet,observation_collet,champignon_tronc,insecte_tronc,fissure_tronc,rejet_tronc,tuteurage_arbre,canisse_arbre,plaie_tronc,observation_tronc,champignon_houppier,insecte_houppier,fissure_houppier,ecorce_incluse_houppier,bois_mort_houppier,plaie_houppier,observation_houppier,esperance_maintien,contrainte,classification_diagnostic,Long,Lat
11,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Tilia,Alignement,Gr,1.0,A,600,H2,63.66197723675813,100,C2,R5,P,Non,Non,RCPLC,0,Non,Non,TPF,Non,Non,Non,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,Branches cassées ,1.0,Non,C2,2.099,48.897
12,Quartier 2 - Alsace - Pereire,Rue Turgot,Corylus,Alignement,S,1.5,JA,700,H2,25.464790894703256,40,C1,SL,P,Non,Non,RCPLNC,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.068,48.902
13,Quartier 2 - Alsace - Pereire,Rue Président Roosevelt,Ostrya,Alignement,Gr,1.0,J,500,H1,28.64788975654116,45,C1,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLNC,0,Non,Non,HPF ,Non,HPBM ,HPPL,0,1.0,Non,C2,2.078,48.9
14,Quartier 2 - Alsace - Pereire,Carrefour RN13,Carpinus,Bosquet,G,100.0,A,1600,H4,190.9859317102744,300,C6,L,P,Non,Non,RCPPL,Cépée,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HBMI ,HPLS,0,1.0,Non,C2,2.074,48.899
15,Quartier 2 - Alsace - Pereire,Rue Président Roosevelt,Ostrya,Alignement,Gr,1.0,J,500,H1,31.830988618379067,50,C1,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLNC,0,Non,Non,HPF ,Non,HPBM ,HPPL,0,1.0,Non,C2,2.075,48.9
16,Quartier 4 - Rotondes - St Léger,RN13,Tilia,Alignement,CS,3.0,J,600,H2,28.64788975654116,45,C1,L,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPPL,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.073,48.899
17,Quartier 4 - Rotondes - St Léger,Rue Saint-Leger,Fraxinus,Alignement,Gr,1.0,JA,700,H2,38.19718634205488,60,C2,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,Réitération traumatique,1.0,Non,C2,2.074,48.897
18,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,70.02817496043394,110,C3,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,2.0,Non,C2,2.085,48.903
19,Quartier 1 - Cœur de Ville et Quatier forestier,Rue de Gramont,Tilia,Alignement,Gr,1.0,A,500,H1,31.830988618379067,50,C1,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,Échaudure ,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.097,48.896
20,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,76.39437268410977,120,C3,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,2.0,Non,C2,2.085,48.903
21,Quartier 2 - Alsace - Pereire,Rue Turgot,Corylus,Alignement,S,1.5,JA,700,H2,25.464790894703256,40,C1,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.068,48.902
22,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Tilia,Alignement,Gr,1.0,A,600,H2,57.29577951308232,90,C2,R5,P,Non,Non,RCPLC,0,Non,Non,TPF,Non,Non,Non,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.099,48.896
23,Quartier 2 - Alsace - Pereire,Rue Pereire,Fraxinus,Alignement,MA,3.0,J,700,H2,28.64788975654116,45,C1,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPPL,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.071,48.901
24,Quartier 2 - Alsace - Pereire,RN13,Tilia,Alignement,GR,4.0,A,500,H1,35.01408748021697,55,C2,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Oui,T2:Bipode,Oui,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.069,48.9
25,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Tilia,Alignement,Gr,1.0,A,600,H2,54.11268065124442,85,C2,R5,P,Non,Non,RCPLC,0,Non,Non,TPF,Non,Non,Non,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.099,48.897
27,Quartier 2 - Alsace - Pereire,Rue Turgot,Corylus,Alignement,S,1.5,JA,700,H2,35.01408748021697,55,C2,SL,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.068,48.901
28,Quartier 2 - Alsace - Pereire,Nouveau cimetière,Fraxinus,Alignement,S,5.0,JA,1200,H3,47.7464829275686,75,C2,L,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLS,Problème de coupe,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.065,48.902
29,Quartier 4 - Rotondes - St Léger,Avenue Saint-Fiacre,Carpinus,Alignement,Gr,1.0,JA,800,H2,41.38028520389279,65,C2,L,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.072,48.894
30,Quartier 3 - Lycée International,RN13,Tilia,Alignement,MA,4.0,A,500,H1,35.01408748021697,55,C2,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,T2:Bipode,Oui,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.065,48.9
31,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,60.47887837492023,95,C2,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,2.0,Non,C2,2.085,48.903
32,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,73.21127382227186,115,C3,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,2.0,Non,C2,2.085,48.903
33,Quartier 2 - Alsace - Pereire,Rue Pereire,Acer,Alignement,MA,3.0,JA,1200,H3,54.11268065124442,85,C2,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLNC,Plaie longitudinale,1.0,Non,C2,2.07,48.901
34,Quartier 3 - Lycée International,RN13,Tilia,Alignement,GR,4.0,A,500,H1,31.830988618379067,50,C1,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,T2:Bipode,Oui,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.066,48.9
36,Quartier 4 - Rotondes - St Léger,Rue Saint-Leger,Fraxinus,Alignement,Gr,1.0,J,600,H2,15.915494309189532,25,C1,L,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Oui,TPPL,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.07,48.898
37,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,JA,800,H2,19.09859317102744,30,C1,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,2.0,Non,C2,2.082,48.905
38,Quartier 4 - Rotondes - St Léger,Avenue Saint-Fiacre,Prunus,Alignement,Gr,1.0,JA,250,H1,44.563384065730695,70,C2,L,P,Non,Non,RCPLS, Racine apparente,Non,Non,TPF,Non,Non,Non,TPLS,Échaudure ,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.072,48.896
39,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Tilia,Alignement,Gr,1.0,A,600,H2,50.92958178940651,80,C2,R5,P,Non,Non,RCPLC,0,Non,Non,TPF,Non,Non,Non,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.098,48.896
40,Quartier 2 - Alsace - Pereire,Carrefour RN13,Betula,Groupe,G,100.0,A,1800,H4,66.84507609859604,105,C3,L,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.073,48.9
41,Quartier 4 - Rotondes - St Léger,RN13,Tilia,Alignement,CS,3.0,J,600,H2,28.64788975654116,45,C1,L,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPPL,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.073,48.899
42,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,57.29577951308232,90,C2,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,2.0,Non,C2,2.086,48.902
43,Quartier 3 - Lycée International,RN13,Tilia,Alignement,MA,4.0,A,500,H1,31.830988618379067,50,C1,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,T2:Bipode,Oui,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.068,48.9
44,Quartier 2 - Alsace - Pereire,RN13,Tilia,Alignement,GR,4.0,A,500,H1,38.19718634205488,60,C2,R5,P,Non,Non,RCPLNC,Choc collet,Non,Non,TPF,Non,Non,Non,TPLNC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.064,48.901
45,Quartier 3 - Lycée International,RN13,Tilia,Alignement,MA,4.0,A,500,H1,35.01408748021697,55,C2,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Oui,T2:Bipode,Oui,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.064,48.9
46,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Tilia,Alignement,Gr,1.0,A,600,H2,57.29577951308232,90,C2,R5,P,Non,Non,RCPLC,0,Non,Non,TPF,Non,Non,Non,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.099,48.895
47,Quartier 2 - Alsace - Pereire,Rue Président Roosevelt,Ostrya,Alignement,Gr,1.0,J,500,H1,38.19718634205488,60,C2,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPPL,0,1.0,Non,C2,2.077,48.9
48,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,79.57747154594767,125,C3,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,2.0,Non,C2,2.084,48.904
49,Quartier 2 - Alsace - Pereire,Rue Pereire,Corylus,Alignement,S,1.5,J,700,H2,15.915494309189532,25,C1,SL,P,Non,Non,RCPLNC,0,Non,Non,TPF,Non,T2:Bipode,Oui,TPPL,0,Non,Non,HPF ,Non,HPBM ,HPPL,0,1.0,Non,C2,2.065,48.901
50,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,66.84507609859604,105,C3,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,2.0,Non,C2,2.084,48.904
51,Quartier 1 - Cœur de Ville et Quatier forestier,Place des Combattants,Magnolia,Alignement,P,4.0,A,500,H1,31.830988618379067,50,C1,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,Axe2 dépassement dans la résidence mitoyenne,1.0,Oui,C2,2.098,48.896
52,Quartier 6 - Hôpital,Rue Léon Désoyer,Ostrya,Alignement,Gr,1.0,J,500,H1,31.830988618379067,50,C1,SL,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPPL,0,1.0,Non,C2,2.079,48.9
53,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Tilia,Alignement,Gr,1.0,A,600,H2,73.21127382227186,115,C3,R5,P,Non,Non,RCPLC,0,Non,Non,TPF,Non,Non,Non,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.099,48.896
54,Quartier 1 - Cœur de Ville et Quatier forestier,Rue Thiers,Cercis,Isolé,MA,20.0,JA,400,H1,31.830988618379067,50,C1,L,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPPL,0,Non,Non,HPF ,Non,HPBM ,HPPL,0,1.0,Non,C1,2.101,48.898
55,Quartier 2 - Alsace - Pereire,RN13,Tilia,Alignement,GR,4.0,A,500,H1,35.01408748021697,55,C2,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Oui,T2:Bipode,Oui,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.069,48.9
56,Quartier 4 - Rotondes - St Léger,Rue de l'Aurore,Acer,Alignement,S,1.0,JA,600,H2,54.11268065124442,85,C2,SL,P,Non,Non,RCPLS,Racine apparente,Non,Non,TPF,Non,Non,Non,TPLNC,Plaie longitudinale ,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.071,48.894
57,Quartier 4 - Rotondes - St Léger,Avenue Saint-Fiacre,Carpinus,Alignement,Gr,1.0,JA,500,H1,31.830988618379067,50,C1,SL,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.072,48.893
58,Quartier 4 - Rotondes - St Léger,Avenue Saint-Fiacre,Carpinus,Alignement,Gr,1.0,JA,500,H1,50.92958178940651,80,C2,SL,P,Non,Non,RCPLS, Racine apparente,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.072,48.894
59,Quartier 4 - Rotondes - St Léger,Avenue Saint-Fiacre,Carpinus,Alignement,S,1.0,JA,800,H2,41.38028520389279,65,C2,L,P,Non,Non,RCPPL,Racine apparente,Non,Non,TPF,Non,Non,Non,TPLNC,Plaie longitudinale ,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.072,48.894
60,Quartier 1 - Cœur de Ville et Quatier forestier,Rue de Gramont,Tilia,Alignement,Gr,1.0,A,500,H1,38.19718634205488,60,C2,R5,P,Non,Non,RCPLS,Racine apparente,Non,Non,TPF,Non,Non,Non,TPLS,Échaudure ,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.096,48.896
61,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,60.47887837492023,95,C2,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,2.0,Non,C2,2.085,48.903
62,Quartier 1 - Cœur de Ville et Quatier forestier,Rue Thiers,Cercis,Isolé,MA,20.0,JA,400,H1,25.464790894703256,40,C1,L,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLS,Échaudure ,Non,Non,HPF ,Non,HPBM ,HPPL,0,1.0,Non,C2,2.101,48.898
63,Quartier 2 - Alsace - Pereire,RN13,Tilia,Alignement,GR,4.0,A,500,H1,38.19718634205488,60,C2,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLNC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.064,48.901
64,Quartier 4 - Rotondes - St Léger,Avenue Saint-Fiacre,Carpinus,Alignement,Gr,1.0,JA,800,H2,38.19718634205488,60,C2,L,P,Non,Non,RCPPL, Racine apparente,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.072,48.895
65,Quartier 4 - Rotondes - St Léger,Avenue Saint-Fiacre,Prunus,Alignement,Gr,1.0,JA,250,H1,41.38028520389279,65,C2,L,P,Non,Non,RCPLS, Racine apparente,Non,Non,TPF,Non,Non,Non,TPLS,Échaudure ,Non,Non,HPF ,Non,HPBM ,HPLS,Échaudure,1.0,Non,C2,2.072,48.895
66,Quartier 6 - Hôpital,Rue Léon Désoyer,Ostrya,Alignement,Gr,1.0,J,500,H1,31.830988618379067,50,C1,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPPL,0,1.0,Non,C2,2.08,48.9
67,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,66.84507609859604,105,C3,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,2.0,Non,C2,2.085,48.903
68,Quartier 4 - Rotondes - St Léger,Rue Saint-Leger,Prunus,Alignement,S,1.0,A,500,H1,70.02817496043394,110,C3,A,P,Oui,Non,RCPLCF,Phellin du fruitier,Non,Non,TPF,Non,Non,Non,TPLNC,0,Oui,Non,HPF ,Non,HPBM ,HPLNC,Phellin du fruitier,2.0,Non,C4,2.072,48.898
69,Quartier 3 - Lycée International,RN13,Tilia,Alignement,GR,4.0,A,500,H1,31.830988618379067,50,C1,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,T2:Bipode,Oui,TPLNC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.067,48.9
70,Quartier 6 - Hôpital,Rue du Docteur Jean Paul Lamare,Ostrya,Alignement,Gr,1.0,J,500,H1,28.64788975654116,45,C1,SL,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPPL,0,Non,Non,HPF ,Non,HPBM ,HPPL,0,1.0,Non,C2,2.079,48.9
71,Quartier 2 - Alsace - Pereire,Rue Turgot,Corylus,Alignement,S,1.5,JA,700,H2,31.830988618379067,50,C1,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.068,48.902
72,Quartier 1 - Cœur de Ville et Quatier forestier,Place des Combattants,Magnolia,Alignement,P,4.0,A,500,H1,44.563384065730695,70,C2,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,Axe2 dépassement dans la résidence mitoyenne,1.0,Oui,C2,2.098,48.896
73,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,Zelkova,Alignement,Gr,0.0,J,400,H1,22.281692032865347,35,C1,SL,PP,Non,Non,RCPPL,Bidime,Non,Non,TPF,Non,Non,Oui,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPPL,0,3.0,Non,C1,2.074,48.903
74,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,70.02817496043394,110,C3,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,2.0,Non,C2,2.087,48.902
75,Quartier 4 - Rotondes - St Léger,Avenue Saint-Fiacre,Alnus,Alignement,Gr,1.0,A,2000,H4,95.4929658551372,150,C3,L,P,Non,Non,RCPPL, Racine apparente,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Oui,HPBM ,HPLS,Écorce incluse,1.0,Oui,C3,2.072,48.893
76,Quartier 2 - Alsace - Pereire,Carrefour RN13,Betula,Groupe,P,5.0,A,1000,H2,54.11268065124442,85,C2,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLCF,0,Non,Non,HPF ,Non,HBMI ,HPLC,0,1.0,Non,C2,2.074,48.899
77,Quartier 7 - Debussy - Schnapper,Bois Schnapper,Acer,Bosquet,CS,100.0,A,2200,H5,82.76057040778558,130,C3,L,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HBMI ,HPLNC,Cavité ouverte,3.0,Non,C3,2.088,48.888
78,Quartier 2 - Alsace - Pereire,RN13,Tilia,Alignement,GR,4.0,A,500,H1,38.19718634205488,60,C2,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Oui,T2:Bipode,Oui,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.07,48.899
79,Quartier 1 - Cœur de Ville et Quatier forestier,Rue de Gramont,Tilia,Alignement,Gr,1.0,A,500,H1,38.19718634205488,60,C2,R5,P,Non,Non,RCPLS, Racine apparente,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.097,48.896
80,Quartier 4 - Rotondes - St Léger,Avenue Saint-Fiacre,Prunus,Alignement,S,1.0,A,400,H1,117.77465788800257,185,C4,L,P,Oui,Non,RCPPL,Phellin du fruitier,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,3.0,Non,C5,2.073,48.895
81,Quartier 1 - Cœur de Ville et Quatier forestier,Rue de Gramont,Tilia,Alignement,Gr,1.0,A,500,H1,35.01408748021697,55,C2,R5,P,Non,Non,RCPLS, Racine apparente,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.096,48.896
83,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Tilia,Alignement,Gr,1.0,A,600,H2,57.29577951308232,90,C2,R5,P,Non,Non,RCPLC,0,Non,Non,TPF,Non,Non,Non,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.098,48.895
84,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Tilia,Alignement,Gr,1.0,A,600,H2,50.92958178940651,80,C2,R5,P,Non,Non,RCPLC,0,Non,Non,TPF,Non,Non,Non,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,Déchirure ,1.0,Non,C2,2.099,48.896
85,Quartier 2 - Alsace - Pereire,Carrefour RN13,Betula,Groupe,G,100.0,A,1800,H4,47.7464829275686,75,C2,L,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.073,48.9
